ID,Anno,"COD_REG,N,5,0",Regione,"NÂ° Eventi  
Incendio","Superficie 
boscata (HA)","Superficie 
non boscata (HA)","Superficie Totale 
percorsa  (HA)","Superficie 
Media (HA)",Dati definitivi (D) o provvisori (P)
2009_13,2009,13,Abruzzo,34,104,55,159,"4,7",D
2009_17,2009,17,Basilicata,142,651,390,1041,"7,3",D
2009_18,2009,18,Calabria,716,4114,3087,7201,"10,1",D
2009_15,2009,15,Campania,903,4881,1321,6202,"6,9",D
2009_8,2009,8,Emilia Romagna,86,69,102,171,2,D
2009_6,2009,6,Friuli V.Giulia,73,198,156,354,"4,8",D
2009_12,2009,12,Lazio,325,1802,726,2528,"7,8",D
2009_7,2009,7,Liguria,332,1489,1155,2644,8,D
2009_3,2009,3,Lombardia,138,268,128,396,"2,9",D
2009_11,2009,11,Marche,19,38,25,63,"3,3",D
2009_14,2009,14,Molise,49,75,111,186,"3,8",D
2009_1,2009,1,Piemonte,117,286,87,373,"3,2",D
2009_16,2009,16,Puglia,277,1527,2831,4358,"15,7",D
2009_20,2009,20,Sardegna,684,12270,24834,37104,"54,2",D
2009_19,2009,19,Sicilia,762,1801,6815,8616,"11,3",D
2009_9,2009,9,Toscana,549,1407,431,1838,"3,3",D
2009_4,2009,4,Trentino A.Adige,48,4,1,5,"0,1",D
2009_10,2009,10,Umbria,56,44,11,55,1,D
2009_2,2009,2,Valle D'Aosta,13,2,5,7,"0,5",D
2009_5,2009,5,Veneto,99,30,24,54,"0,5",D
2010_13,2010,13,Abruzzo,64,160,219,379,"5,9",D
2010_17,2010,17,Basilicata,150,481,1638,2119,"14,1",D
2010_18,2010,18,Calabria,652,2439,2769,5208,8,D
2010_15,2010,15,Campania,543,1800,551,2351,"4,3",D
2010_8,2010,8,Emilia Romagna,19,16,5,21,"1,1",D
2010_6,2010,6,Friuli V.Giulia,53,12,25,37,"0,7",D
2010_12,2010,12,Lazio,354,2460,689,3149,"8,9",D
2010_7,2010,7,Liguria,113,162,7,169,"1,5",D
2010_3,2010,3,Lombardia,82,151,167,318,"3,9",D
2010_11,2010,11,Marche,9,41,5,46,"5,1",D
2010_14,2010,14,Molise,74,87,290,377,"5,1",D
2010_1,2010,1,Piemonte,66,132,99,231,"3,5",D
2010_16,2010,16,Puglia,473,2066,2954,5020,"10,6",D
2010_20,2010,20,Sardegna,797,1934,4648,6582,"8,3",D
2010_19,2010,19,Sicilia,1159,7242,13016,20258,"17,5",D
2010_9,2010,9,Toscana,165,82,60,142,"0,9",D
2010_4,2010,4,Trentino A.Adige,39,2,3,5,"0,1",D
2010_10,2010,10,Umbria,40,80,30,110,"2,8",D
2010_2,2010,2,Valle D'Aosta,7,2,1,3,"0,4",D
2010_5,2010,5,Veneto,25,8,4,12,"0,5",D
2011_13,2011,13,Abruzzo,136,440,776,1216,"8,9",D
2011_17,2011,17,Basilicata,295,1513,1545,3058,"10,4",D
2011_18,2011,18,Calabria,1238,8174,6262,14436,"11,7",D
2011_15,2011,15,Campania,1435,5738,2388,8126,"5,7",D
2011_8,2011,8,Emilia Romagna,120,89,93,182,"1,5",D
2011_6,2011,6,Friuli V.Giulia,98,230,142,372,"3,8",D
2011_12,2011,12,Lazio,609,5597,1280,6877,"11,3",D
2011_7,2011,7,Liguria,293,1301,216,1517,"5,2",D
2011_3,2011,3,Lombardia,227,531,781,1312,"5,8",D
2011_11,2011,11,Marche,84,372,77,449,"5,3",D
2011_14,2011,14,Molise,129,323,425,748,"5,8",D
2011_1,2011,1,Piemonte,209,518,377,895,"4,3",D
2011_16,2011,16,Puglia,580,3327,3845,7172,"12,4",D
2011_20,2011,20,Sardegna,820,3718,6510,10228,"12,5",D
2011_19,2011,19,Sicilia,1011,5227,8158,13385,"13,2",D
2011_9,2011,9,Toscana,646,680,346,1026,"1,6",D
2011_4,2011,4,Trentino A.Adige,43,12,3,15,"0,3",D
2011_10,2011,10,Umbria,123,217,89,306,"2,5",D
2011_2,2011,2,Valle D'Aosta,16,33,29,62,"3,9",D
2011_5,2011,5,Veneto,69,390,235,625,"9,1",D
2012_13,2012,13,Abruzzo,154,647,883,1530,"9,9",D
2012_17,2012,17,Basilicata,343,2921,3202,6123,"17,9",D
2012_18,2012,18,Calabria,1069,16750,5828,22578,"21,1",D
2012_15,2012,15,Campania,1186,6531,1568,8099,"6,8",D
2012_8,2012,8,Emilia Romagna,167,258,248,506,3,D
2012_6,2012,6,Friuli V.Giulia,187,670,111,781,"4,2",D
2012_12,2012,12,Lazio,715,5597,2459,8056,"11,3",D
2012_7,2012,7,Liguria,354,1188,122,1310,"3,7",D
2012_3,2012,3,Lombardia,262,461,875,1336,"5,1",D
2012_11,2012,11,Marche,70,172,100,272,"3,9",D
2012_14,2012,14,Molise,142,412,520,932,"6,6",D
2012_1,2012,1,Piemonte,166,560,821,1381,"8,3",D
2012_16,2012,16,Puglia,557,4472,3789,8261,"14,8",D
2012_20,2012,20,Sardegna,448,3057,5454,8511,19,D
2012_19,2012,19,Sicilia,1271,27326,28257,55583,"43,7",D
2012_9,2012,9,Toscana,756,1681,1149,2830,"3,7",D
2012_4,2012,4,Trentino A.Adige,65,50,4,54,"0,8",D
2012_10,2012,10,Umbria,186,1687,767,2454,"13,2",D
2012_2,2012,2,Valle D'Aosta,12,4,48,52,"4,3",D
2012_5,2012,5,Veneto,164,88,62,150,"0,9",D
2013_13,2013,13,Abruzzo,41,84,229,313,"7,1",D
2013_17,2013,17,Basilicata,126,391,546,937,"7,4",D
2013_18,2013,18,Calabria,292,1714,1095,2809,"9,6",D
2013_15,2013,15,Campania,319,751,313,1064,"3,3",D
2013_8,2013,8,Emilia Romagna,34,10,16,26,"0,8",D
2013_6,2013,6,Friuli V.Giulia,51,1166,271,1437,"28,2",D
2013_12,2013,12,Lazio,198,1177,224,1401,"7,1",D
2013_7,2013,7,Liguria,139,242,20,262,"1,9",D
2013_3,2013,3,Lombardia,92,100,393,493,"5,4",D
2013_11,2013,11,Marche,14,17,6,23,"1,6",D
2013_14,2013,14,Molise,63,91,277,368,"5,8",D
2013_1,2013,1,Piemonte,147,355,349,704,"4,8",D
2013_16,2013,16,Puglia,357,1579,1739,3318,"9,3",D
2013_20,2013,20,Sardegna,302,3548,7040,10588,"35,1",D
2013_19,2013,19,Sicilia,458,2083,3006,5089,"11,1",D
2013_9,2013,9,Toscana,209,90,55,145,"0,7",D
2013_4,2013,4,Trentino A.Adige,38,11,32,43,"1,1",D
2013_10,2013,10,Umbria,21,24,20,44,"2,1",D
2013_2,2013,2,Valle D'Aosta,4,1,3,4,1,D
2013_5,2013,5,Veneto,31,3,5,8,"0,3",D
2014_13,2014,13,Abruzzo,21,31,19,50,"2,4",D
2014_17,2014,17,Basilicata,68,271,247,518,"7,6",D
2014_18,2014,18,Calabria,492,2400,1137,3537,"7,2",D
2014_15,2014,15,Campania,307,835,193,1028,"3,4",D
2014_8,2014,8,Emilia Romagna,26,10,26,36,"1,3",D
2014_6,2014,6,Friuli V.Giulia,12,11,7,18,"1,5",D
2014_12,2014,12,Lazio,211,953,186,1139,"5,4",D
2014_7,2014,7,Liguria,97,124,99,223,"2,3",D
2014_3,2014,3,Lombardia,93,147,309,456,"4,9",D
2014_11,2014,11,Marche,4,30,32,62,"15,5",D
2014_14,2014,14,Molise,32,18,127,145,"4,5",D
2014_1,2014,1,Piemonte,109,57,109,166,"1,5",D
2014_16,2014,16,Puglia,217,635,536,1171,"5,4",D
2014_20,2014,20,Sardegna,479,2670,4249,6919,"14,4",D
2014_19,2014,19,Sicilia,938,9079,11476,20555,"21,9",D
2014_9,2014,9,Toscana,113,33,46,79,"0,7",D
2014_4,2014,4,Trentino A.Adige,10,2,0,2,"0,2",D
2014_10,2014,10,Umbria,7,1,2,3,"0,4",D
2014_2,2014,2,Valle D'Aosta,6,3,4,7,"1,2",D
2014_5,2014,5,Veneto,15,10,1,11,"0,7",D
2015_13,2015,13,Abruzzo,85,"639,5","533,5",1173,"13,8",P
2015_17,2015,17,Basilicata,154,"1017,2","715,6","1732,7","11,3",P
2015_18,2015,18,Calabria,866,4901,"1679,6","6580,6","7,6",P
2015_15,2015,15,Campania,933,3824,"964,3","4788,3","5,1",P
2015_8,2015,8,Emilia Romagna,51,"120,5","26,7","147,2","2,9",P
2015_6,2015,6,Friuli V.Giulia,50,"26,3",35,"61,2","1,2",P
2015_12,2015,12,Lazio,414,"3240,4","729,7",3970,"9,6",P
2015_7,2015,7,Liguria,244,929,"133,4","1062,4","4,4",P
2015_3,2015,3,Lombardia,234,689,"1382,9","2071,9","8,9",P
2015_11,2015,11,Marche,24,"31,3","13,5","44,8","1,9",P
2015_14,2015,14,Molise,77,"479,7","348,5","828,2","10,8",P
2015_1,2015,1,Piemonte,306,"1024,8","1696,7","2721,6","8,9",P
2015_16,2015,16,Puglia,436,"1331,5","1858,4",3190,"7,3",P
2015_20,2015,20,Sardegna,251,781,"1422,8","2203,8","8,8",P
2015_19,2015,19,Sicilia,832,"2203,4","4189,5","6392,9","7,7",P
2015_9,2015,9,Toscana,338,"157,5","208,2","365,7","1,1",P
2015_4,2015,4,Trentino A.Adige,31,"3,4","0,1","3,4","0,1",P
2015_10,2015,10,Umbria,57,"91,4","38,4","129,8","2,3",P
2015_2,2015,2,Valle D'Aosta,14,"4,4","9,4","13,8",1,P
2015_5,2015,5,Veneto,50,"86,3","13,8","100,1",2,P
2016_13,2016,13,Abruzzo,17,"35,2","7,4","42,6","2,5",P
2016_17,2016,17,Basilicata,15,"45,6",4,"49,6","3,3",P
2016_18,2016,18,Calabria,61,147,"54,6","201,6","3,3",P
2016_15,2016,15,Campania,98,71,"18,5","89,5","0,9",P
2016_8,2016,8,Emilia Romagna,10,"9,3","1,3","10,6","1,1",P
2016_6,2016,6,Friuli V.Giulia,18,"14,5",3,"17,5",1,P
2016_12,2016,12,Lazio,60,"176,7","65,6","242,3",4,P
2016_7,2016,7,Liguria,67,185,"66,7","251,7","3,8",P
2016_3,2016,3,Lombardia,106,"187,4","480,5","667,9","6,3",P
2016_11,2016,11,Marche,3,"2,7","0,5","3,2","1,1",P
2016_14,2016,14,Molise,9,"15,8","3,3","19,1","2,1",P
2016_1,2016,1,Piemonte,101,"705,4","243,3","948,7","9,4",P
2016_16,2016,16,Puglia,16,"10,4","17,6",28,"1,8",P
2016_20,2016,20,Sardegna,16,"42,6","15,7","58,3","3,6",P
2016_19,2016,19,Sicilia,73,"750,6","318,5","1069,1","14,6",P
2016_9,2016,9,Toscana,89,40,"4,2","44,2","0,5",P
2016_4,2016,4,Trentino A.Adige,18,"5,9","0,1",6,"0,3",P
2016_10,2016,10,Umbria,4,"1,2",7,"8,2","2,1",P
2016_2,2016,2,Valle D'Aosta,1,"0,2",0,"0,2","0,2",P
2016_5,2016,5,Veneto,20,"7,5",5,"12,5","0,6",P